date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:41	60070/60070	---M-Z	200	added ('OK')	text/html	etag:%22eaa6-591135f5e214b-gzip%22	https://www.drozd.at/kaufen/index.html	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/5/kaufen/www.drozd.at/kaufen/index.html	(from )
00:56:42	4390/4390	---M--	404	error ('Not%20Found')	text/html	etag:%221126-56011dc93eb07%22	https://www.drozd.at/robots.txt		(from )
00:56:43	955/955	---M--	200	added ('OK')	image/png	etag:%223bb-591135f807dfe%22	https://www.drozd.at/kaufen/images/favicon.png	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/5/kaufen/www.drozd.at/kaufen/images/favicon.png	(from https://www.drozd.at/kaufen/index.html)
00:56:44	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-591135f623826-gzip%22	https://www.drozd.at/kaufen/css/bootstrap.min.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/5/kaufen/www.drozd.at/kaufen/css/bootstrap.min.css	(from https://www.drozd.at/kaufen/index.html)
00:56:44	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-591135f66eb3f-gzip%22	https://www.drozd.at/kaufen/css/owl.theme.default.min.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/5/kaufen/www.drozd.at/kaufen/css/owl.theme.default.min.css	(from https://www.drozd.at/kaufen/index.html)
00:56:45	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-591135f665ea0-gzip%22	https://www.drozd.at/kaufen/css/owl.carousel.min.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/5/kaufen/www.drozd.at/kaufen/css/owl.carousel.min.css	(from https://www.drozd.at/kaufen/index.html)
00:56:46	77814/77814	---M-Z	200	added ('OK')	text/css	etag:%2212ff6-591135f65a321-gzip%22	https://www.drozd.at/kaufen/css/main.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/5/kaufen/www.drozd.at/kaufen/css/main.css	(from https://www.drozd.at/kaufen/index.html)
00:56:47	4143/4143	---M-Z	200	added ('OK')	text/css	etag:%22102f-591135f67589f-gzip%22	https://www.drozd.at/kaufen/css/slick.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/5/kaufen/www.drozd.at/kaufen/css/slick.css	(from https://www.drozd.at/kaufen/index.html)
00:56:48	54456/54456	---M-Z	200	added ('OK')	text/css	etag:%22d4b8-591135f632284-gzip%22	https://www.drozd.at/kaufen/css/fontawesome.min.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/5/kaufen/www.drozd.at/kaufen/css/fontawesome.min.css	(from https://www.drozd.at/kaufen/index.html)
00:56:48	4964/4964	---M-Z	200	added ('OK')	text/css	etag:%221364-591135f640ce3-gzip%22	https://www.drozd.at/kaufen/css/jquery.fancybox.css	C:/Users/rida.kabbani/Desktop/lnh%20academy/website/5/kaufen/www.drozd.at/kaufen/css/jquery.fancybox.css	(from https://www.drozd.at/kaufen/index.html)
